arxiv_id,title,ground_file,source_dir,main_tex_file,main_tex_selection_used,selected_main_tex_rel_path,selected_confidence,selected_flags,selected_rationale,selection_differs_from_current_rule,outline_json,outline_markdown,exact_output_json,ref_meta_json,status,outline_nodes,max_outline_level,section_ref_mentions,ref_meta_count,bib_files,skipped_large_bib_files,error
2003.08271,Pre-trained models for natural language processing: A survey,2003.08271.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2003.08271,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2003.08271/ptm.tex,True,ptm.tex,high,single_tex,Title and survey-style section structure match the paper.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2003.08271/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2003.08271/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2003.08271/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2003.08271/ref_meta.json,ok,60,3,884,0,0,0,
2103.11072,Local Interpretations for Explainable Natural Language Processing: A Survey,2103.11072.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2103.11072,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2103.11072/main.tex,True,main.tex,high,single_tex,Title and section headings match the survey.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2103.11072/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2103.11072/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2103.11072/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2103.11072/ref_meta.json,ok,41,3,663,215,1,0,
2106.04554,A Survey of Transformers,2106.04554.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2106.04554,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2106.04554/main.tex,True,main.tex,high,multi_file_bundle,Title matches and the file is the full paper wrapper.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.04554/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.04554/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.04554/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.04554/ref_meta.json,ok,62,3,627,173,1,0,
2106.15561,A Survey on Neural Speech Synthesis,2106.15561.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2106.15561,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2106.15561/main.tex,True,main.tex,high,single_tex,Title and section structure match the survey.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.15561/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.15561/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.15561/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2106.15561/ref_meta.json,ok,33,3,1999,507,1,0,
2107.13586,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing",2107.13586.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2107.13586,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2107.13586/main.tex,True,main.tex,high,split_sections,Wrapper file matches the full survey title; the section files are subfiles.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2107.13586/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2107.13586/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2107.13586/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2107.13586/ref_meta.json,ok,72,3,881,249,4,0,
2108.06688,Complex Knowledge Base Question Answering: A Survey,2108.06688.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2108.06688,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2108.06688/main.tex,True,main.tex,high,split_sections,Wrapper file title matches the survey; section files are subparts.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2108.06688/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2108.06688/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2108.06688/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2108.06688/ref_meta.json,ok,49,3,699,227,1,0,
2202.08063,Information Extraction in Low-Resource Scenarios: Survey and Perspective,2202.08063.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2202.08063,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2202.08063/ickg2024.tex,True,ickg2024.tex,high,split_sections,Title matches and the wrapper includes the survey sections.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2202.08063/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2202.08063/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2202.08063/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2202.08063/ref_meta.json,ok,24,3,1067,383,1,0,
2203.01054,"A Survey on Aspect-Based Sentiment Analysis: Tasks, Methods, and Challenges",2203.01054.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2203.01054,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2203.01054/main.tex,True,main.tex,high,single_tex,Single TeX file with matching title and paper structure.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.01054/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.01054/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.01054/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.01054/ref_meta.json,ok,35,3,599,242,2,0,
2203.05227,"Faithfulness in Natural Language Generation: A Systematic Survey of Analysis, Evaluation and Optimization Methods",2203.05227.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2203.05227,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2203.05227/survey.tex,True,survey.tex,high,single_tex,Single TeX file with matching survey title.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.05227/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.05227/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.05227/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2203.05227/ref_meta.json,ok,52,3,775,318,1,0,
2209.00099,Efficient Methods for Natural Language Processing: A Survey,2209.00099.json,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2209.00099,/Users/xjp/Desktop/TaxoBench-CS/data/survey_arxiv_downloads_2026-06-01/source_extracted/2209.00099/main.tex,True,main.tex,high,split_sections,Title and section layout match the efficient NLP survey.,False,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2209.00099/outline.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2209.00099/outline.md,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2209.00099/exact_output.json,/Users/xjp/Desktop/TaxoBench-CS/data/taxobench_outline_exact_2026-06-01/per_paper/2209.00099/ref_meta.json,ok,40,2,522,385,3,0,
